,Frequency,Loudness,TimeStamp
0,3597.8016609672695,0.6885177575789315,27/11/2022 19:09:13
1,3597.8016609672695,0.7009280411537071,27/11/2022 19:09:13
2,3597.8016609672695,0.6583688277892809,27/11/2022 19:09:13
3,7195.603321934539,0.6463480039540728,27/11/2022 19:09:13
4,7195.603321934539,0.7047734922528979,27/11/2022 19:09:13
5,3597.8016609672695,0.6684666597043856,27/11/2022 19:09:13
6,3597.8016609672695,0.6809051552524135,27/11/2022 19:09:14
7,3597.8016609672695,0.7637782528820068,27/11/2022 19:09:14
8,3597.8016609672695,0.6740842991409784,27/11/2022 19:09:14
9,3597.8016609672695,0.7729093151098314,27/11/2022 19:09:14
10,3597.8016609672695,0.6755468630936503,27/11/2022 19:09:14
11,3597.8016609672695,0.780900244856336,27/11/2022 19:09:14
12,3597.8016609672695,0.781539617944062,27/11/2022 19:09:14
13,3597.8016609672695,0.7822467347679835,27/11/2022 19:09:14
14,3597.8016609672695,0.72261066995698,27/11/2022 19:09:14
15,3597.8016609672695,0.6331648083005145,27/11/2022 19:09:14
16,3597.8016609672695,0.7723158982749855,27/11/2022 19:09:14
17,3597.8016609672695,0.6948177605776551,27/11/2022 19:09:15
18,3597.8016609672695,0.6064730229762171,27/11/2022 19:09:15
19,3597.8016609672695,0.7434640596768164,27/11/2022 19:09:15
20,3597.8016609672695,0.713570852423672,27/11/2022 19:09:15
21,3597.8016609672695,0.6508552718688665,27/11/2022 19:09:16
22,3597.8016609672695,0.6054736777924218,27/11/2022 19:09:16
23,3597.8016609672695,0.7208729777032403,27/11/2022 19:09:16
24,3597.8016609672695,0.6121956386836175,27/11/2022 19:09:16
